C:\etc\ML\snake-game\agent.py:94: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\utils\tensor_new.cpp:257.)
  states = torch.tensor(states, dtype=torch.float).to(device) #
Game 680 Score 60 Record 76
Game 681 Score 30 Record 76
Game 682 Score 40 Record 76
Game 683 Score 24 Record 76
Game 684 Score 34 Record 76
Game 685 Score 37 Record 76
Game 686 Score 35 Record 76
Game 687 Score 51 Record 76
Game 688 Score 47 Record 76
Game 689 Score 28 Record 76
Game 690 Score 41 Record 76
Game 691 Score 40 Record 76
Game 692 Score 30 Record 76
Game 693 Score 38 Record 76
Game 694 Score 33 Record 76
Game 695 Score 32 Record 76
Game 696 Score 47 Record 76
Game 697 Score 25 Record 76
Game 698 Score 35 Record 76
Game 699 Score 38 Record 76
Game 700 Score 45 Record 76
Game 701 Score 41 Record 76
Game 702 Score 35 Record 76
Game 703 Score 35 Record 76
Game 704 Score 44 Record 76
Game 705 Score 50 Record 76
Game 706 Score 26 Record 76
Game 707 Score 33 Record 76
Game 708 Score 17 Record 76
Game 709 Score 23 Record 76
Game 710 Score 55 Record 76
Game 711 Score 46 Record 76
Game 712 Score 36 Record 76
Game 713 Score 22 Record 76
Game 714 Score 26 Record 76
Game 715 Score 46 Record 76
Game 716 Score 31 Record 76
Game 717 Score 26 Record 76
Game 718 Score 9 Record 76
Game 719 Score 34 Record 76
Game 720 Score 37 Record 76
Game 721 Score 21 Record 76
Game 722 Score 59 Record 76
Game 723 Score 56 Record 76
Game 724 Score 39 Record 76
Game 725 Score 31 Record 76
Game 726 Score 36 Record 76
Game 727 Score 35 Record 76
Game 728 Score 20 Record 76
Game 729 Score 13 Record 76
Game 730 Score 31 Record 76
Game 731 Score 39 Record 76
Game 732 Score 15 Record 76
Game 733 Score 38 Record 76
Game 734 Score 18 Record 76
Game 735 Score 53 Record 76
Game 736 Score 19 Record 76
Game 737 Score 40 Record 76
Game 738 Score 14 Record 76
Game 739 Score 11 Record 76
Game 740 Score 34 Record 76
Game 741 Score 23 Record 76
Game 742 Score 34 Record 76
Game 743 Score 30 Record 76
Game 744 Score 34 Record 76
Game 745 Score 28 Record 76
Game 746 Score 16 Record 76
Game 747 Score 18 Record 76
Game 748 Score 11 Record 76
